Station,Section,P,Q,U,Phase,uuid
BORDEP6,1.1,0,60,230,-8,_c09ec628-24e2-5dba-ab18-1d9b68d3981c
BORDEP6,1.2,-200,10,223,-16,_87fe63a5-6db6-5c16-877f-bc37e0a3485e
LILLEP6,1A1,0,0,224,-9,_cb6e4ec4-3e3e-5869-b0c7-d5615a0405f8
LILLEP6,1B1,-190,-10,224,-9,_988018db-bfce-5bd9-965e-864f7027e7be
LILLEP7,1B2,0,0,400,0,_739cbabc-850c-5a9b-b2e1-bef983157f80
LILLEP7,2B2,267,-142,400,0,_698d56eb-b808-5395-8c95-02cca6d28ed2
LILLEP7,2A1,0,0,400,0,_51318b93-9f38-561a-9190-bd4153f33520
LILLEP7,3A1,0,0,400,0,_514c6cf9-71c9-5eb8-b0bc-16dd8c47fba5
LYON1P3,1.1,60,0,59,-2,_a2d56873-9bde-5884-b442-51de8a843e14
LYON1P6,1.1,-200,-20,222,-7,_3d974bcb-bc83-5621-a165-0517b2c63e57
LYON1P6,1.2,0,0,222,-7,_af731ccf-ab3b-52d9-893e-fd95ce715b40
LYON1P7,1A1,-200,-10,403,1,_71a35374-52d1-5bfa-b8e5-62011f5d76b7
LYON1P7,1B1,0,0,403,1,_baac5023-2b06-5da6-b496-e72c7bf895a4
MARSEP7,1.1,-200,-10,401,-1,_7b510b79-f64e-5d41-9ee6-fe79fb131a92
NANCYP3,1.1,-20,-1,58,-7,_f99fd084-3fca-5ae3-9532-b0726ee7621e
NANCYP6,1.1,0,0,225,-7,_05563a37-5526-54b2-95f3-30c62c4ff314
NANCYP6,1.2,89,-59,225,-7,_2137434f-c76b-561b-9643-5e8c277fff91
NANTEP7,1.1,-50,-10,400,0,_125fa245-95f4-5ea3-8eb0-26c5ceb2e675
PARISP7,1.1,667,0,408,8,_41d10bf3-2115-5ce5-a49a-71bb6cb43aba
PARISP7,1.2,0,0,404,0,_afff3fbe-9e31-5bca-a024-01d4c78a6f05
STRASP7,1A1,0,0,0,0,_1e63d34c-b790-537d-861a-0b0f028eef79
STRASP7,1B1,0,0,0,0,_6a21ad47-af07-54eb-a2f1-b574e16fa169
ZNANTP7,1.1,0,0,402,-1,_23cd559f-41aa-5a03-a04d-09fa69684490
